"id";"content";"answer1";"answer2";"answer3";"answer4";"key"
1;"0 + 8";"6";"8";"11";"4";"8"
2;"6 + 6";"16";"19";"12";"7";"12"
3;"6 * 8";"51";"53";"48";"52";"48"
4;"0 / 7";"0";"7";"-8";"-8";"0"
5;"0 * 7";"-5";"3";"7";"0";"0"
6;"6 - 8";"4";"-8";"-11";"-2";"-2"
7;"0 + 7";"9";"13";"5";"7";"7"
8;"6 - 2";"4";"-4";"6";"-4";"4"
9;"5 + 3";"17";"8";"7";"5";"8"
10;"3 * 4";"16";"12";"21";"19";"12"
11;"7 * 8";"59";"56";"53";"50";"56"
12;"7 + 3";"10";"13";"19";"1";"10"
13;"3 * 6";"18";"16";"26";"9";"18"
14;"5 / 5";"-7";"7";"1";"8";"1"
15;"4 - 7";"-3";"-2";"-12";"-9";"-3"
16;"8 * 8";"63";"59";"60";"64";"64"
17;"4 - 6";"-5";"-9";"-7";"-2";"-2"
18;"8 / 8";"8";"9";"1";"-3";"1"
19;"8 + 5";"13";"18";"21";"14";"13"
20;"8 + 8";"16";"22";"21";"11";"16"
21;"7 - 2";"10";"4";"14";"5";"5"
22;"4 / 2";"0";"11";"2";"3";"2"
23;"0 / 7";"2";"5";"2";"0";"0"
24;"2 / 2";"1";"10";"0";"5";"1"
25;"6 - 4";"3";"8";"2";"-4";"2"
26;"8 - 9";"-9";"4";"-5";"-1";"-1"
27;"5 - 8";"4";"-3";"-7";"6";"-3"
28;"9 + 4";"12";"5";"13";"20";"13"
29;"8 * 7";"64";"53";"56";"47";"56"
30;"3 * 2";"5";"6";"9";"10";"6"
31;"3 - 7";"-4";"-8";"-7";"-10";"-4"
32;"0 * 2";"0";"9";"-8";"-6";"0"
33;"0 / 7";"-3";"-9";"0";"-8";"0"
34;"8 * 8";"58";"64";"57";"70";"64"
35;"5 - 9";"-11";"-6";"-4";"-5";"-4"
36;"7 + 9";"15";"16";"12";"17";"16"
37;"1 * 4";"-5";"5";"-4";"4";"4"
38;"0 / 8";"4";"9";"3";"0";"0"
39;"2 * 6";"12";"13";"4";"20";"12"
40;"5 + 4";"10";"11";"9";"11";"9"
41;"6 * 7";"50";"42";"36";"40";"42"
42;"3 + 6";"9";"3";"1";"1";"9"
43;"8 + 8";"16";"15";"15";"25";"16"
44;"5 - 7";"-2";"2";"-7";"-1";"-2"
45;"0 / 5";"5";"-4";"0";"-7";"0"
46;"0 - 2";"-1";"3";"-2";"-3";"-2"
47;"3 - 7";"0";"1";"-4";"-8";"-4"
48;"4 - 8";"-9";"4";"-1";"-4";"-4"
49;"2 * 5";"15";"2";"10";"19";"10"
50;"3 - 1";"2";"-5";"8";"-6";"2"
51;"6 + 6";"12";"20";"18";"10";"12"
52;"0 / 4";"9";"0";"-1";"5";"0"
53;"8 * 9";"75";"79";"72";"74";"72"
54;"8 / 4";"2";"9";"1";"-7";"2"
55;"4 / 4";"1";"-7";"-3";"8";"1"
56;"4 + 6";"16";"10";"17";"13";"10"
57;"2 * 6";"17";"17";"8";"12";"12"
58;"3 - 5";"-11";"5";"-2";"6";"-2"
59;"8 - 9";"5";"-1";"-9";"3";"-1"
60;"8 / 8";"6";"-4";"1";"-7";"1"
61;"8 * 9";"79";"77";"79";"72";"72"
62;"2 / 2";"1";"-6";"10";"6";"1"
63;"2 - 8";"-6";"-9";"-11";"-15";"-6"
64;"6 * 2";"12";"20";"13";"16";"12"
65;"0 / 2";"-3";"0";"-5";"-6";"0"
66;"2 + 6";"7";"17";"10";"8";"8"
67;"4 / 2";"2";"3";"-5";"8";"2"
68;"4 * 2";"-1";"14";"8";"12";"8"
69;"2 + 6";"16";"5";"17";"8";"8"
70;"8 - 5";"3";"7";"6";"7";"3"
71;"4 - 2";"-3";"2";"4";"-4";"2"
72;"4 * 8";"38";"27";"32";"24";"32"
73;"7 * 4";"28";"30";"32";"20";"28"
74;"4 - 9";"0";"-5";"-6";"-10";"-5"
75;"7 * 1";"16";"14";"8";"7";"7"
76;"5 - 5";"0";"-8";"8";"1";"0"
77;"5 - 8";"6";"-8";"-3";"5";"-3"
78;"8 * 9";"74";"72";"80";"70";"72"
79;"4 - 7";"-3";"0";"-5";"-4";"-3"
80;"4 + 3";"1";"7";"15";"6";"7"
81;"6 / 6";"5";"1";"3";"0";"1"
82;"8 + 4";"12";"11";"6";"5";"12"
83;"0 / 7";"-9";"0";"-9";"-6";"0"
84;"8 / 4";"-4";"2";"10";"4";"2"
85;"6 - 8";"-8";"-7";"-2";"4";"-2"
86;"3 - 6";"5";"-3";"-6";"3";"-3"
87;"1 - 2";"-1";"2";"1";"-7";"-1"
88;"2 + 4";"6";"-2";"7";"7";"6"
89;"0 + 2";"-2";"2";"10";"7";"2"
90;"5 + 2";"-2";"2";"0";"7";"7"
91;"4 + 6";"16";"14";"10";"9";"10"
92;"0 / 9";"-7";"2";"-7";"0";"0"
93;"6 / 6";"-6";"1";"10";"-3";"1"
94;"9 / 3";"3";"9";"10";"-6";"3"
95;"1 * 5";"5";"8";"2";"4";"5"
96;"0 / 6";"2";"8";"5";"0";"0"
97;"9 / 3";"-1";"3";"2";"1";"3"
98;"0 / 4";"6";"-1";"3";"0";"0"
99;"5 * 1";"0";"6";"13";"5";"5"
100;"6 * 4";"24";"20";"18";"33";"24"
101;"2 - 2";"-6";"6";"5";"0";"0"
102;"7 + 1";"13";"-1";"16";"8";"8"
103;"9 * 5";"54";"42";"52";"45";"45"
104;"0 / 7";"0";"6";"7";"-3";"0"
105;"6 / 6";"1";"4";"-4";"-3";"1"
106;"0 / 9";"4";"-9";"-6";"0";"0"
107;"5 - 7";"-3";"5";"-2";"-10";"-2"
108;"8 * 4";"32";"30";"27";"40";"32"
109;"1 / 1";"-3";"-1";"1";"7";"1"
110;"0 / 4";"-9";"8";"0";"6";"0"
111;"7 / 1";"13";"14";"7";"-1";"7"
112;"1 * 9";"9";"11";"6";"15";"9"
113;"0 * 2";"-1";"-9";"-4";"0";"0"
114;"3 - 8";"-14";"-5";"-4";"-14";"-5"
115;"4 * 1";"4";"7";"-4";"0";"4"
116;"9 / 9";"0";"-1";"3";"1";"1"
117;"7 + 8";"10";"15";"21";"19";"15"
118;"6 + 8";"19";"14";"5";"13";"14"
119;"8 / 4";"2";"4";"8";"9";"2"
120;"5 * 4";"27";"18";"22";"20";"20"
121;"1 * 4";"8";"12";"4";"6";"4"
122;"2 / 2";"-5";"6";"1";"0";"1"
123;"8 - 5";"-3";"3";"-3";"-2";"3"
124;"9 * 4";"40";"36";"44";"33";"36"
125;"2 * 3";"6";"-1";"8";"10";"6"
126;"8 * 1";"8";"17";"6";"13";"8"
127;"7 - 7";"-4";"0";"4";"-7";"0"
128;"9 + 6";"16";"15";"14";"11";"15"
129;"8 / 4";"5";"-4";"2";"-5";"2"
130;"4 + 6";"5";"2";"10";"2";"10"
131;"2 / 2";"-2";"-3";"1";"10";"1"
132;"3 - 2";"-7";"1";"2";"2";"1"
133;"6 * 7";"42";"45";"38";"37";"42"
134;"5 * 3";"9";"15";"7";"13";"15"
135;"8 * 9";"72";"75";"71";"74";"72"
136;"4 + 2";"5";"1";"12";"6";"6"
137;"8 + 8";"14";"16";"23";"24";"16"
138;"5 - 4";"1";"0";"9";"9";"1"
139;"5 - 3";"11";"2";"7";"-3";"2"
140;"9 + 1";"14";"7";"10";"12";"10"
141;"0 / 3";"-6";"1";"0";"-4";"0"
142;"9 + 4";"13";"11";"18";"16";"13"
143;"1 - 5";"-7";"-3";"3";"-4";"-4"
144;"6 * 3";"14";"9";"18";"15";"18"
145;"8 * 5";"32";"40";"32";"43";"40"
146;"6 / 6";"1";"-6";"9";"-6";"1"
147;"7 * 7";"49";"40";"42";"45";"49"
148;"2 + 7";"13";"9";"2";"0";"9"
149;"5 / 5";"0";"8";"3";"1";"1"
150;"5 * 2";"8";"10";"3";"15";"10"
151;"9 / 9";"-4";"-3";"10";"1";"1"
152;"3 + 1";"3";"4";"7";"13";"4"
153;"9 * 1";"12";"14";"9";"0";"9"
154;"0 / 4";"-8";"0";"8";"2";"0"
155;"0 / 6";"3";"0";"3";"-5";"0"
156;"5 / 5";"1";"9";"6";"2";"1"
157;"4 - 8";"-6";"-6";"-9";"-4";"-4"
158;"3 - 3";"0";"-4";"9";"-3";"0"
159;"1 - 5";"-4";"2";"-9";"-11";"-4"
160;"8 - 6";"9";"-7";"2";"-2";"2"
161;"8 + 1";"17";"10";"17";"9";"9"
162;"0 / 9";"9";"7";"0";"8";"0"
163;"6 - 2";"3";"9";"5";"4";"4"
164;"6 + 5";"17";"15";"11";"16";"11"
165;"5 + 8";"6";"13";"5";"5";"13"
166;"0 / 9";"1";"-3";"0";"2";"0"
167;"4 + 3";"8";"8";"7";"8";"7"
168;"7 * 1";"-1";"7";"16";"3";"7"
169;"8 * 7";"53";"56";"50";"53";"56"
170;"2 - 8";"-1";"1";"-6";"-15";"-6"
171;"4 * 7";"28";"23";"23";"36";"28"
172;"3 + 3";"6";"10";"4";"3";"6"
173;"2 * 5";"17";"6";"10";"13";"10"
174;"5 * 8";"31";"45";"41";"40";"40"
175;"0 + 8";"12";"8";"4";"5";"8"
176;"0 / 4";"-2";"3";"0";"-3";"0"
177;"0 / 5";"5";"-8";"-4";"0";"0"
178;"0 / 3";"0";"3";"6";"5";"0"
179;"1 + 2";"-1";"10";"3";"7";"3"
180;"9 / 9";"0";"3";"-7";"1";"1"
181;"9 * 6";"54";"52";"60";"45";"54"
182;"7 * 2";"8";"9";"14";"22";"14"
183;"3 - 9";"-6";"-12";"-1";"-5";"-6"
184;"4 - 5";"-1";"-6";"-5";"-5";"-1"
185;"3 / 3";"-1";"9";"-5";"1";"1"
186;"3 / 3";"0";"2";"2";"1";"1"
187;"6 * 7";"34";"39";"42";"33";"42"
188;"8 / 8";"-2";"1";"7";"0";"1"
189;"8 / 4";"-2";"-7";"2";"8";"2"
190;"1 * 4";"12";"9";"4";"-4";"4"
191;"9 + 4";"10";"7";"6";"13";"13"
192;"8 - 1";"7";"-1";"12";"1";"7"
193;"0 / 3";"8";"-4";"0";"3";"0"
194;"0 * 7";"-5";"-5";"-4";"0";"0"
195;"6 - 7";"-1";"4";"7";"4";"-1"
196;"2 * 3";"13";"12";"13";"6";"6"
197;"0 / 7";"-3";"2";"0";"8";"0"
198;"5 / 5";"2";"1";"-3";"10";"1"
199;"2 - 9";"-3";"-10";"-7";"1";"-7"
200;"8 / 4";"9";"6";"1";"2";"2"
201;"7 - 9";"-8";"2";"-2";"0";"-2"
202;"0 / 8";"-2";"0";"7";"8";"0"
203;"6 - 2";"12";"11";"4";"2";"4"
204;"7 * 8";"55";"47";"56";"58";"56"
205;"6 - 8";"4";"-7";"-2";"1";"-2"
206;"5 * 7";"30";"37";"35";"29";"35"
207;"0 / 9";"9";"3";"-2";"0";"0"
208;"6 - 2";"-3";"1";"-4";"4";"4"
209;"1 + 3";"13";"-3";"4";"-3";"4"
210;"3 - 3";"0";"6";"-7";"-1";"0"
211;"9 - 5";"0";"4";"1";"-3";"4"
212;"6 + 2";"8";"6";"7";"13";"8"
213;"0 / 5";"-4";"-9";"1";"0";"0"
214;"1 * 1";"1";"7";"2";"-8";"1"
215;"7 + 5";"15";"6";"12";"19";"12"
216;"0 - 2";"3";"5";"-2";"1";"-2"
217;"5 * 9";"49";"45";"49";"49";"45"
218;"6 - 6";"-5";"-9";"0";"4";"0"
219;"8 - 2";"0";"0";"7";"6";"6"
220;"2 / 2";"1";"7";"-7";"2";"1"
221;"0 / 7";"-7";"-8";"0";"2";"0"
222;"1 + 2";"6";"5";"3";"1";"3"
223;"6 - 8";"5";"-11";"-9";"-2";"-2"
224;"4 * 2";"7";"14";"8";"7";"8"
225;"0 / 5";"4";"8";"7";"0";"0"
226;"3 + 1";"-3";"11";"-1";"4";"4"
227;"7 / 7";"6";"-3";"-3";"1";"1"
228;"6 * 8";"48";"43";"50";"50";"48"
229;"0 + 1";"1";"9";"6";"5";"1"
230;"0 * 4";"0";"5";"4";"-8";"0"
231;"2 + 7";"17";"6";"11";"9";"9"
232;"5 * 9";"54";"48";"45";"49";"45"
233;"3 / 3";"1";"4";"4";"-8";"1"
234;"1 * 9";"9";"0";"4";"4";"9"
235;"1 + 3";"1";"3";"4";"12";"4"
236;"5 + 1";"7";"12";"3";"6";"6"
237;"9 / 9";"1";"-3";"8";"8";"1"
238;"7 * 5";"36";"33";"30";"35";"35"
239;"2 + 6";"4";"8";"0";"1";"8"
240;"3 - 2";"-8";"1";"-2";"-8";"1"
241;"4 * 8";"27";"36";"39";"32";"32"
242;"1 * 9";"5";"9";"18";"10";"9"
243;"8 - 2";"0";"12";"6";"-1";"6"
244;"8 * 7";"52";"48";"56";"64";"56"
245;"4 - 1";"10";"5";"-6";"3";"3"
246;"2 + 6";"10";"2";"8";"10";"8"
247;"8 / 8";"-3";"9";"1";"-2";"1"
248;"4 + 5";"16";"16";"15";"9";"9"
249;"0 / 3";"0";"-2";"9";"-4";"0"
250;"8 * 8";"68";"64";"57";"73";"64"
251;"6 + 7";"21";"20";"13";"15";"13"
252;"4 / 4";"-7";"10";"1";"9";"1"
253;"7 / 7";"2";"-6";"1";"2";"1"
254;"0 / 5";"-8";"4";"0";"8";"0"
255;"5 - 1";"11";"4";"7";"2";"4"
256;"2 + 4";"10";"0";"6";"4";"6"
257;"2 + 6";"15";"8";"14";"2";"8"
258;"5 + 5";"8";"8";"10";"7";"10"
259;"2 + 1";"-5";"6";"-4";"3";"3"
260;"5 - 5";"-1";"0";"7";"-3";"0"
261;"8 * 6";"42";"42";"42";"48";"48"
262;"5 / 5";"1";"-4";"5";"-5";"1"
263;"0 / 5";"0";"-5";"-7";"-7";"0"
264;"5 + 8";"20";"12";"13";"20";"13"
265;"9 * 9";"80";"81";"84";"79";"81"
266;"8 * 7";"56";"64";"51";"50";"56"
267;"2 * 4";"0";"8";"16";"4";"8"
268;"9 + 9";"27";"25";"12";"18";"18"
269;"7 * 6";"51";"51";"35";"42";"42"
270;"0 / 7";"-9";"0";"2";"-8";"0"
271;"7 + 7";"6";"7";"22";"14";"14"
272;"9 + 1";"14";"9";"12";"10";"10"
273;"0 / 8";"3";"0";"1";"-2";"0"
274;"9 - 2";"0";"10";"7";"1";"7"
275;"1 - 6";"-5";"-8";"-13";"-7";"-5"
276;"0 - 6";"-5";"3";"-10";"-6";"-6"
277;"2 - 7";"-14";"-4";"-5";"-11";"-5"
278;"4 * 3";"12";"13";"3";"11";"12"
279;"9 - 9";"-3";"5";"2";"0";"0"
280;"8 / 8";"-1";"2";"1";"-6";"1"
281;"3 * 6";"16";"14";"21";"18";"18"
282;"0 / 4";"5";"4";"2";"0";"0"
283;"5 * 9";"45";"53";"39";"47";"45"
284;"0 / 4";"4";"0";"5";"6";"0"
285;"1 * 2";"-3";"2";"-3";"-5";"2"
286;"2 / 2";"-8";"1";"-1";"9";"1"
287;"5 - 7";"-9";"3";"-2";"3";"-2"
288;"0 + 7";"13";"7";"0";"0";"7"
289;"4 * 8";"26";"32";"33";"26";"32"
290;"1 - 3";"-3";"-4";"3";"-2";"-2"
291;"9 + 1";"11";"10";"16";"8";"10"
292;"2 * 5";"15";"12";"10";"12";"10"
293;"8 / 4";"-7";"-3";"10";"2";"2"
294;"2 * 4";"14";"9";"8";"13";"8"
295;"4 * 3";"20";"19";"15";"12";"12"
296;"5 + 6";"11";"12";"7";"16";"11"
297;"9 + 2";"11";"8";"2";"15";"11"
298;"2 * 4";"15";"17";"3";"8";"8"
299;"0 * 5";"-2";"0";"-5";"9";"0"
300;"6 - 5";"1";"6";"6";"-4";"1"
301;"0 + 5";"7";"14";"5";"4";"5"
302;"8 / 2";"9";"0";"3";"4";"4"
303;"9 * 3";"32";"18";"35";"27";"27"
304;"7 + 9";"8";"10";"16";"21";"16"
305;"6 / 1";"13";"0";"10";"6";"6"
306;"3 * 4";"12";"19";"20";"17";"12"
307;"5 + 7";"14";"14";"12";"8";"12"
308;"3 * 1";"10";"6";"3";"-3";"3"
309;"8 - 4";"12";"4";"11";"3";"4"
310;"8 * 4";"31";"32";"33";"34";"32"
311;"0 / 6";"0";"4";"6";"5";"0"
312;"1 * 9";"14";"8";"9";"6";"9"
313;"8 * 6";"54";"51";"47";"48";"48"
314;"9 + 8";"23";"17";"11";"22";"17"
315;"2 + 9";"13";"7";"14";"11";"11"
316;"6 + 7";"11";"14";"13";"5";"13"
317;"9 - 9";"0";"-8";"7";"-7";"0"
318;"4 / 2";"-4";"-5";"2";"-7";"2"
319;"8 / 8";"7";"1";"0";"2";"1"
320;"1 - 1";"8";"7";"0";"1";"0"
321;"2 * 2";"4";"12";"3";"1";"4"
322;"8 / 2";"-1";"4";"0";"-4";"4"
323;"4 + 4";"14";"6";"8";"2";"8"
324;"9 * 3";"22";"27";"23";"31";"27"
325;"5 * 1";"0";"2";"6";"5";"5"
326;"9 + 4";"13";"20";"18";"17";"13"
327;"0 / 3";"-5";"8";"-7";"0";"0"
328;"9 * 2";"20";"15";"23";"18";"18"
329;"8 + 2";"14";"17";"1";"10";"10"
330;"0 / 6";"0";"8";"1";"-5";"0"
331;"9 / 3";"10";"3";"12";"-1";"3"
332;"4 * 7";"26";"29";"28";"29";"28"
333;"9 * 8";"74";"72";"80";"64";"72"
334;"5 * 5";"31";"23";"32";"25";"25"
335;"3 - 2";"1";"-7";"5";"6";"1"
336;"2 - 7";"-2";"-3";"-5";"-6";"-5"
337;"2 + 7";"12";"2";"13";"9";"9"
338;"1 - 8";"-7";"-5";"2";"-6";"-7"
339;"8 * 8";"72";"59";"64";"63";"64"
340;"0 / 8";"0";"5";"7";"4";"0"
341;"6 / 3";"-4";"8";"0";"2";"2"
342;"4 * 7";"31";"28";"25";"23";"28"
343;"1 * 8";"5";"3";"8";"5";"8"
344;"4 - 3";"1";"5";"0";"-4";"1"
345;"6 * 8";"48";"46";"55";"51";"48"
346;"0 / 5";"2";"1";"0";"3";"0"
347;"6 + 7";"4";"13";"11";"15";"13"
348;"5 / 1";"11";"-2";"5";"9";"5"
349;"2 - 7";"3";"-8";"-14";"-5";"-5"
350;"1 * 9";"3";"9";"14";"13";"9"
351;"4 - 4";"6";"0";"5";"6";"0"
352;"6 * 4";"22";"24";"19";"22";"24"
353;"2 + 6";"8";"-1";"1";"9";"8"
354;"3 + 4";"1";"7";"9";"0";"7"
355;"2 * 7";"16";"10";"22";"14";"14"
356;"2 + 2";"7";"0";"1";"4";"4"
357;"9 * 3";"29";"23";"33";"27";"27"
358;"3 - 8";"-11";"-5";"-7";"-6";"-5"
359;"0 * 7";"4";"6";"-2";"0";"0"
360;"0 / 8";"0";"-9";"1";"9";"0"
361;"5 / 1";"0";"13";"13";"5";"5"
362;"9 / 9";"1";"-5";"9";"8";"1"
363;"3 - 6";"0";"-6";"-4";"-3";"-3"
364;"6 + 9";"21";"15";"17";"10";"15"
365;"6 + 5";"11";"3";"3";"16";"11"
366;"6 - 9";"-12";"1";"-11";"-3";"-3"
367;"3 + 9";"10";"19";"12";"7";"12"
368;"2 - 7";"4";"-5";"-14";"-7";"-5"
369;"7 * 6";"45";"42";"35";"33";"42"
370;"0 / 8";"-1";"1";"5";"0";"0"
371;"8 * 5";"47";"47";"40";"41";"40"
372;"0 - 1";"-4";"-3";"-1";"6";"-1"
373;"6 - 8";"-5";"-2";"6";"1";"-2"
374;"4 / 2";"2";"-1";"8";"6";"2"
375;"1 + 5";"6";"8";"9";"7";"6"
376;"9 * 5";"52";"45";"39";"41";"45"
377;"7 + 4";"18";"15";"11";"20";"11"
378;"9 + 4";"13";"6";"18";"16";"13"
379;"1 + 3";"8";"3";"4";"12";"4"
380;"3 - 4";"-5";"7";"-9";"-1";"-1"
381;"8 + 5";"5";"8";"4";"13";"13"
382;"0 * 6";"-2";"0";"1";"3";"0"
383;"9 / 9";"1";"4";"5";"-3";"1"
384;"3 + 4";"-2";"13";"7";"0";"7"
385;"1 + 4";"6";"10";"5";"8";"5"
386;"9 / 9";"5";"2";"1";"7";"1"
387;"5 - 3";"1";"5";"2";"-6";"2"
388;"6 + 7";"13";"18";"17";"8";"13"
389;"9 / 3";"3";"-5";"11";"-1";"3"
390;"7 / 1";"7";"10";"14";"1";"7"
391;"3 * 1";"2";"11";"6";"3";"3"
392;"0 / 6";"1";"5";"-5";"0";"0"
393;"0 * 4";"3";"0";"-8";"9";"0"
394;"6 + 7";"13";"16";"21";"8";"13"
395;"2 + 8";"3";"18";"10";"16";"10"
396;"1 - 7";"-6";"-13";"-1";"-8";"-6"
397;"3 - 9";"-7";"-13";"-13";"-6";"-6"
398;"3 - 3";"-3";"3";"-4";"0";"0"
399;"3 * 7";"21";"19";"23";"17";"21"
400;"7 / 7";"1";"-4";"-7";"8";"1"
401;"4 * 9";"35";"36";"37";"42";"36"
402;"0 * 2";"-2";"0";"-4";"-4";"0"
403;"1 * 7";"13";"7";"16";"6";"7"
404;"7 * 7";"49";"48";"51";"44";"49"
405;"4 * 7";"28";"22";"37";"35";"28"
406;"4 * 9";"32";"28";"45";"36";"36"
407;"4 * 4";"16";"8";"19";"11";"16"
408;"2 - 8";"-14";"-1";"-4";"-6";"-6"
409;"5 - 1";"-3";"-1";"2";"4";"4"
410;"7 - 4";"3";"6";"6";"10";"3"
411;"3 * 1";"3";"8";"12";"0";"3"
412;"6 + 1";"6";"7";"6";"12";"7"
413;"9 / 9";"-2";"-2";"1";"-1";"1"
414;"9 * 5";"50";"54";"45";"44";"45"
415;"7 + 9";"12";"8";"16";"17";"16"
416;"6 - 9";"-11";"5";"-3";"-7";"-3"
417;"4 / 2";"3";"6";"-2";"2";"2"
418;"5 + 1";"0";"14";"6";"8";"6"
419;"5 - 3";"9";"2";"4";"6";"2"
420;"0 * 4";"0";"6";"6";"7";"0"
421;"5 * 4";"19";"27";"20";"21";"20"
422;"3 + 2";"5";"11";"-1";"11";"5"
423;"4 + 4";"8";"2";"11";"6";"8"
424;"3 / 3";"2";"1";"5";"-5";"1"
425;"0 / 6";"6";"4";"6";"0";"0"
426;"9 * 4";"36";"44";"38";"29";"36"
427;"3 * 6";"14";"15";"18";"16";"18"
428;"0 / 7";"-7";"0";"2";"2";"0"
429;"9 * 6";"54";"45";"49";"61";"54"
430;"3 + 6";"6";"3";"9";"1";"9"
431;"0 / 9";"-7";"1";"-7";"0";"0"
432;"0 * 2";"-8";"-1";"5";"0";"0"
433;"5 / 5";"7";"9";"9";"1";"1"
434;"6 + 7";"6";"13";"8";"4";"13"
435;"7 - 8";"8";"-5";"-1";"-10";"-1"
436;"4 * 4";"21";"17";"24";"16";"16"
437;"0 + 4";"-1";"13";"4";"11";"4"
438;"8 + 3";"2";"17";"14";"11";"11"
439;"6 + 4";"4";"13";"1";"10";"10"
440;"0 / 1";"0";"-1";"-8";"-5";"0"
441;"0 / 5";"0";"-4";"7";"-1";"0"
442;"4 + 1";"3";"-3";"5";"14";"5"
443;"5 * 7";"41";"39";"32";"35";"35"
444;"5 - 3";"-5";"8";"2";"8";"2"
445;"0 - 6";"3";"-3";"-8";"-6";"-6"
446;"8 * 4";"29";"30";"32";"28";"32"
447;"0 / 4";"4";"-3";"0";"3";"0"
448;"9 * 5";"38";"41";"38";"45";"45"
449;"0 / 5";"7";"-8";"0";"1";"0"
450;"9 / 9";"0";"10";"1";"-5";"1"
451;"3 * 2";"14";"6";"9";"13";"6"
452;"8 + 2";"7";"10";"7";"6";"10"
453;"0 + 2";"0";"-4";"-5";"2";"2"
454;"1 - 3";"-7";"-3";"-2";"0";"-2"
455;"8 / 8";"7";"-3";"1";"7";"1"
456;"0 / 7";"-4";"-9";"0";"2";"0"
457;"3 + 3";"12";"1";"6";"7";"6"
458;"8 / 8";"1";"4";"5";"9";"1"
459;"0 * 7";"-3";"-2";"6";"0";"0"
460;"3 - 6";"0";"2";"-3";"5";"-3"
461;"8 - 9";"-6";"-1";"-6";"4";"-1"
462;"4 + 7";"5";"11";"14";"13";"11"
463;"0 - 4";"-4";"1";"-2";"-13";"-4"
464;"6 + 2";"6";"1";"12";"8";"8"
465;"0 / 7";"-6";"-5";"-3";"0";"0"
466;"9 * 9";"81";"72";"73";"85";"81"
467;"3 - 9";"-3";"-6";"-4";"-14";"-6"
468;"6 * 5";"26";"22";"30";"39";"30"
469;"7 - 8";"-5";"0";"3";"-1";"-1"
470;"2 + 6";"1";"11";"8";"10";"8"
471;"8 + 2";"12";"10";"5";"1";"10"
472;"2 + 9";"11";"20";"15";"2";"11"
473;"9 + 1";"13";"16";"10";"12";"10"
474;"6 - 1";"7";"5";"-4";"1";"5"
475;"4 + 7";"16";"11";"16";"15";"11"
476;"7 * 5";"28";"34";"35";"32";"35"
477;"2 + 5";"6";"2";"4";"7";"7"
478;"7 * 4";"30";"31";"31";"28";"28"
479;"1 - 2";"-1";"-7";"-2";"5";"-1"
480;"0 / 6";"0";"7";"6";"-5";"0"
481;"6 / 1";"5";"6";"11";"10";"6"
482;"6 + 8";"18";"17";"16";"14";"14"
483;"9 / 3";"3";"6";"12";"5";"3"
484;"5 + 4";"9";"11";"6";"4";"9"
485;"2 * 9";"21";"25";"20";"18";"18"
486;"6 * 9";"54";"62";"45";"56";"54"
487;"0 * 9";"-2";"-6";"-8";"0";"0"
488;"8 / 4";"-3";"11";"-6";"2";"2"
489;"9 / 9";"2";"1";"-2";"-6";"1"
490;"8 + 8";"15";"23";"14";"16";"16"
491;"3 + 2";"10";"5";"11";"4";"5"
492;"4 / 4";"-3";"-4";"8";"1";"1"
493;"3 - 9";"0";"3";"0";"-6";"-6"
494;"0 * 5";"5";"-7";"0";"-8";"0"
495;"2 + 8";"7";"3";"10";"9";"10"
496;"3 / 3";"-8";"1";"10";"-8";"1"
497;"9 - 2";"12";"7";"8";"12";"7"
498;"8 / 8";"6";"1";"4";"-2";"1"
499;"4 / 2";"5";"-3";"2";"-2";"2"
500;"4 - 2";"2";"9";"8";"5";"2"
